#OTU ID	taxonomy	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5
17469	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae	23	226	713	19	0	37	251	41	40	13	43	35	727	5102	4264	10	37	1331	48	82	187	141	127	131	18	469	56	0	0	5	0	0	0	5	0	6	9	0	0	10	5	0	0	7	13	9	9	5	162	6	67	160	41	20	14	22	5	0	0	0	0	2504	98	220	165	1989	0	6	8	0	37	44	11	14	0	7	0	8	19	17	14	7	5	153	238	379	7	46
22821	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __Sulfitobacter_mediterraneus_KCTC_32188	24	483	854	9	193	20	91	55	42	79	156	126	247	3771	656	40	318	93	31	27	95	155	57	2775	1192	2325	1469	34	0	9	0	0	20	35	0	11	7	16	11	21	9	15	10	8	16	17	28	13	186	9	120	187	58	49	43	225	0	0	10	0	0	268	119	46	163	1867	0	9	12	8	11	10	0	0	0	0	0	7	13	7	24	0	0	42	47	32	40	31
20076	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __NS3a_marine_group; __uncultured_Bacteroidetes_bacterium	0	0	0	0	0	23	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	13183	1839	483	0	9	0	7	0	0	0	0	0	0	0	151	931	976	7	0	0	0	0	0	0	5	8	0	64	0	0	0	0	0	0	35	0	0	0	0	8	0	0	0	0	0	0	9	0	18	0	0	0	0	0	0	0	0	0	13
22363	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Pseudophaeobacter	43	248	373	14	444	5	23	31	0	15	31	11	26	431	78	1203	245	24	0	0	0	6	0	13	22	0	34	0	0	5	0	0	12	7	74	0	0	2370	255	324	720	2122	11	206	169	47	1028	122	53	95	165	87	725	112	491	135	23	2874	1256	458	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
19211	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Alphaproteobacteria_Incertae_Sedis; __uncultured; __uncultured	23	15301	154	7	0	0	10	88	0	0	9	28	38	0	66	0	0	36	5	0	0	0	0	14	61	0	0	0	0	0	0	0	26	21	0	5	0	0	185	31	0	9	0	0	7	8	0	0	133	0	26	366	22	80	24	0	30	0	0	0	0	95	37	201	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	207	217	24	21
22464	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola	32	0	16	0	20	0	29	23	0	5838	189	59	21	0	42	149	8076	222	0	0	0	0	0	8	76	359	278	7	0	0	0	0	0	5	8	51	6	0	0	0	0	0	0	0	0	5	5	25	218	6	26	26	0	22	192	941	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20774	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Roseibacillus; __uncultured_bacterium	7	0	47	0	10	0	6	6	8	10	0	0	88	8	57	0	0	11	23	0	6	0	0	226	52	0	8	0	6	0	0	0	33	84	0	0	0	312	28	136	5	95	0	0	0	25	7	55	358	9	138	1704	47	198	25	12	13	0	0	0	0	8	116	50	11	23	9	135	10744	89	39	168	182	93	0	0	0	0	0	0	0	0	0	1096	118	32	7	238
17112	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium	0	14	74	187	28	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	22	0	0	0	0	0	0	6	0	92	0	24	44	0	8	0	0	10	0	0	0	0	59	637	202	29	52	0	25	6630	0	24	64	114	25	0	64	0	50	0	0	0	0	0	1704	766	5053	12	11
17369	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Hyphomonas	13	150	62	0	133	9	40	39	0	24	10	19	40	41	51	10	30	12	0	0	19	6	43	215	97	93	7	0	0	78	0	0	64	32	0	12	9	499	221	95	724	2034	19	850	367	437	1963	788	429	48	427	246	114	589	432	220	82	1377	806	212	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17828	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Loktanella	5	0	0	0	7	9	0	17	10	70	0	29	6	6	10	0	12	13	0	0	12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	44	35	6	182	1839	0	11	0	65	0	3877	2263	24	2800	90	10	356	37	221	145	822	2351	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
